|   ID | Manufacturer_Name                          | City        | State           |
|  113 | Reoutlook                                 | Ahemdabad   | Gujarat         |
|  114 | Sri Shankheshwara Novalty                 | Chennai     | Tamil Nadu      |
|  115 | Merhaki Food & NutritionGlobalBees Brands Pvt. Ltd. | Bangalore   | Karnataka       |
|  116 | Green Apple Venture LLP                   | Bhiwandi    | Maharashtra     |
|  117 | THE CLOWNFISH                             | Bhiwandi    | Maharashtra     |
|  118 | Shri Hari Om Industries                   | Ludhiana    | Punjab          |
|  119 | NZ SEASONALWEAR PVT LTD.                  | Bhiwandi    | Maharashtra     |
|  120 | CAMISON                                   | Rewa        | Madhya Pradesh  |
|  121 | Wildcraft India Limited                   | Bangalore   | Karnataka       |
|  122 | Knya Enterprise Pvt. Ltd.                 | Mumbai      | Maharashtra     |
|  123 | Aditya Birla Fashion and Retail           | Bangalore   | Karnataka       |
|  124 | Mehta E-Retail India                      | New Delhi   | Delhi           |
|  125 | TAHVO DESIGNS AND PRODUCTIONS PVT.LTD.   | GURGAON     | Haryana         |
|  126 | UNITED EXIM PVT LTD                       | NOIDA       | Uttar Pradesh   |
|  127 | BGN Apparels                              | Gurgaon     | Haryana         |
|  128 | TAHVO DESIGNS AND PRODUCTIONS PVT LTD     | Gurgaon     | Haryana         |
|  129 | KRISHNA LABELS PVT. LTD.                  | GURUGRAM    | Haryana         |
|  130 | KRISHNA LABELS PVT. LTD.                  | GURGAON     | Haryana         |
|  131 | Kisah Apparels Private Limited            | Kolkata     | West Bengal     |
|  132 | KRISHNA LABELS PVT. LTD.                  | GURGAON     | Haryana         |
|  133 | SHREE HARI FASHION                        | GURGAON     | Haryana         |
|  134 | Krishna Labels Pvt. Ltd.                  | Gurugram    | Haryana         |
|  135 | Vijit Retail Private Limited              | Gurugram    | Haryana         |
|  136 | -                                         | KOLKATA     | West Bengal     |
|  137 | Indian Needle Private Limited             | Delhi       | Delhi           |
|  138 | Indian Needle Pvt. Ltd.                   | Delhi       | Delhi           |
|  139 | KAAJ STUDIO LLP                           | Surat       | Gujarat         |
|  140 | Indian Needle Pvt. Ltd.                   | Delhi       | Delhi           |
|  141 | Indian Needle Pvt. Ltd.                   | Delhi       | Delhi           |
|  142 | Kisah Apparels Private Limited            | Kolkata     | West Bengal     |
|  143 | Vastramay Pvt. Ltd.                       | Kolkata     | West Bengal     |
|  144 | Kisah Apparels Private Limited            | Kolkata     | West Bengal     |
|  145 | Kisah Apparels Private Limited            | Kolkata     | West Bengal     |
|  146 | Kisah Apparels Private Limited            | Kolkata     | West Bengal     |
|  147 | Vastramay Pvt. Ltd.                       | Kolkata     | West Bengal     |
|  148 | Kisah Apparels Private Limited            | Kolkata     | West Bengal     |
|  149 | Kisah Apparels Private Limited            | Kolkata     | West Bengal     |
|  150 | Indian Needle Private Limited             | Delhi       | Delhi           |
|  151 | Indian Needle Pvt. Ltd.                   | Delhi       | Delhi           |
|  152 | Vastramay Pvt. Ltd.                       | Kolkata     | West Bengal     |
|  153 | Vastramay Pvt. Ltd.                       | Kolkata     | West Bengal     |
|  154 | Indian Needle Private Limited             | Delhi       | Delhi           |
|  155 | See Designs                               | Noida       | Uttar Pradesh   |
|  156 | Indian Needle Pvt. Ltd.                   | Delhi       | Delhi           |
|  157 | SUNSHINE INTERNATIONAL                    | Surat       | Gujarat         |
|  158 | Indian Needle Pvt ltd                     | delhi       | Delhi           |
|  159 | Mokksha Designs                           | Ambattur    | Tamil Nadu      |
|  160 | shagun enterprises                        | Panipat     | Haryana         |
|  161 | SIXTH SENSE - SJIT                       | KARNATAKA   | Karnataka       |
|  162 | Kisah Apparels Private Limited            | Kolkata     | West Bengal     |
|  163 | See Designs Lifestyle Private Limited      | Noida       | Uttar Pradesh   |
|  164 | Shri Ram Enterprises                      | Delhi       | Delhi           |
|  165 | MAAHII FABRICS PRIVATE LIMITED            | Kolkata     | West Bengal     |
|  166 | Sunshine International                    | SURAT       | Gujarat         |
|  167 | Well Tex                                  | SURAT       | Gujarat         |
|  168 | Syonn Fashion                             | Kolkata     | West Bengal     |
|  169 | Sanwara Fashions                          | KOL         | West Bengal     |
|  170 | Mokksha Designs                           | Ambattur    | Tamil Nadu      |
|  171 | Mangla Apparels India Private Limited     | Sonipat     | Haryana         |
|  172 | ASOPALAV CREATIONS PVT LTD                | Surat       | Gujarat         |
|  173 | Omnipresent Lifestyle L.L.P              | Surat       | Gujarat         |
|  174 | Lifestyle Int Pvt Ltd                     | Bangalore   | Karnataka       |
|  175 | SUNSHINE LIFESTYLE                        | SURAT       | Gujarat         |
|  176 | Vastramay Pvt. Ltd.                       | Kolkata     | West Bengal     |
|  177 | Kisah Apparels Private Limited            | Kolkata     | West Bengal     |
|  178 | Indian Needle Pvt. Ltd.                   | Delhi       | Delhi           |
|  179 | Indian Needle Private Limited             | Delhi       | Delhi           |
|  180 | Kisah Apparels Private Limited            | Kolkata     | West Bengal     |
|  181 | Indian Needle Pvt ltd                     | Delhi       | Delhi           |
|  182 | Kisah Apparels Private Limited            | Kolkata     | West Bengal     |
|  183 | Indian Needle Pvt ltd                     | Delhi       | Delhi           |
|  184 | Vastramay Pvt. Ltd.                       | Kolkata     | West Bengal     |
|  185 | Kisah Apparels Private Limited            | Kolkata     | West Bengal     |
|  186 | One Million Clothing                      | Mumbai      | Maharashtra     |
|  187 | Jk Clothing Pvt. Ltd                     | Mumbai      | Maharashtra     |
|  188 | ADITYA GLOBAL INC                         | Delhi       | Delhi           |
|  189 | Cot'N Soft Fashion & Retail               | Faridabad   | Haryana         |
|  190 | United Textile Mills Pvt Ltd               | Mumbai       | Maharashtra     |
|  191 | CHANEL FOR FASHION PRIVATE LIMITED         | Jaipur       | Rajasthan       |
|  192 | United Textile Mills Pvt Ltd               | Mumbai       | Maharashtra     |
|  193 | Sixth Sense                               | Bangalore    | Karnataka       |
|  194 | United Textile Mills Pvt Ltd               | Mumbai       | Maharashtra     |
|  195 | BATRA COLONYJ K BAL VIDHYA MANDIR         | Panipat      | Haryana         |
|  196 | AMZIRA                                    | Surat        | Gujarat         |
